,y,x1,g
0,1.0,0.6384365834333133,1
1,1.0,-1.04369253284141,1
2,1.0,-0.17972197455786315,1
3,1.0,-1.0638718408798284,1
4,1.0,0.6468286181766877,1
5,1.0,-2.8668488677178794,1
6,1.0,-1.1213813279769553,1
7,1.0,-0.5403669911886463,1
8,1.0,0.7695535367179095,1
9,1.0,0.5089848310382504,1
10,0.0,2.628964917399048,1
11,1.0,0.5857965569211967,1
12,0.0,0.5451932516408661,1
13,1.0,0.4088914802778133,1
14,1.0,0.38016518835457797,1
15,1.0,0.0007829232140340984,1
16,1.0,0.7689540087974155,1
17,0.0,1.6233171395552681,1
18,0.0,1.1506943602383892,1
19,0.0,1.344510256357011,1
20,1.0,-0.35469026616387134,1
21,1.0,-0.19077478850723142,1
22,1.0,-0.841542053336854,1
23,0.0,1.2407251912105923,1
24,1.0,-0.5991880977685464,1
25,0.0,1.0837983481294116,1
26,1.0,0.15655681135700425,1
27,1.0,-0.3218431904756751,1
28,0.0,0.8543094620177383,1
29,1.0,-0.19166140651441332,1
30,1.0,-0.4081430896837945,1
31,1.0,0.8739757049672098,1
32,1.0,-0.3020790111880455,1
33,0.0,1.5776841595147035,1
34,1.0,-0.004759268390391292,1
35,1.0,0.20439234761013098,1
36,1.0,-0.8544305681103836,1
37,0.0,2.057599450280155,1
38,0.0,1.3293162373809784,1
39,0.0,1.0955090270502594,1
40,0.0,1.656980948773132,1
41,1.0,0.8795746787165778,1
42,1.0,-0.8939680457536391,1
43,1.0,-0.10088489711479647,1
44,0.0,1.75203119672613,1
45,1.0,-0.4486870064694229,1
46,1.0,0.5003916467345711,1
47,1.0,-0.7415627202737475,1
48,1.0,-1.644290025501103,1
49,1.0,0.23346245475499075,1
50,1.0,0.08108124121288997,1
51,0.0,1.2374169911775934,1
52,1.0,-0.507725031580255,1
53,1.0,-0.0756769056914614,1
54,1.0,-0.4159766256167691,1
55,1.0,-0.07081341753323571,1
56,1.0,-1.58422052108179,1
57,1.0,-0.479464201232202,1
58,1.0,-1.7977053941233478,1
59,1.0,-2.2061072880949895,1
60,0.0,1.279008478473121,1
61,1.0,0.513795686863398,1
62,1.0,-0.3147666562831862,1
63,1.0,0.4109486881982182,1
64,1.0,0.21924786481847228,1
65,1.0,0.2782480030876841,1
66,1.0,0.7278321106476796,1
67,1.0,0.1047004745265973,1
68,1.0,0.20746455662851265,1
69,1.0,-0.07780740967211798,1
70,0.0,1.8188187327759278,1
71,1.0,-0.4058259903677817,1
72,0.0,0.6763459572756645,1
73,0.0,0.7806065697674814,1
74,1.0,0.4676285563627873,1
75,0.0,1.7028501763457935,1
76,1.0,-2.039210627616242,1
77,1.0,-1.2773828546578752,1
78,1.0,-0.3385822122269561,1
79,1.0,-1.181180376340433,1
80,1.0,-0.7746237458086975,1
81,1.0,-0.3994989435091972,1
82,1.0,0.13885757911382018,1
83,1.0,-1.3638761867956677,1
84,1.0,-0.7831579912711567,1
85,1.0,-0.44890642485760607,1
86,1.0,0.4913692582206503,1
87,1.0,-0.41142954744695365,1
88,1.0,-0.9297648268107215,2
89,1.0,0.7021724805337863,2
90,1.0,0.016536394631452043,2
91,1.0,-1.3599981342546346,2
92,1.0,-1.2516729348358275,2
93,1.0,-0.4719943887718838,2
94,1.0,-0.6116455563441688,2
95,1.0,-2.434520752796359,2
96,1.0,0.4627039732081557,2
97,1.0,0.452004279729138,2
98,0.0,1.2199214280474735,2
99,1.0,-0.011808094399245803,2
100,0.0,1.2654476051611698,2
101,1.0,0.42450248544048413,2
102,1.0,-1.250116607079685,2
103,1.0,-1.387810896289518,2
104,1.0,0.934642464736813,2
105,1.0,-1.4678056192204194,2
106,0.0,1.883889078913665,2
107,1.0,1.0701470646143767,2
108,1.0,-0.5292589179705643,2
109,1.0,-0.3046656664841088,2
110,1.0,0.2639763308943449,2
111,1.0,0.2975637995688108,2
112,0.0,0.9035548894444634,2
113,1.0,-0.017898321752363118,2
114,1.0,-0.7364015821535859,2
115,1.0,-1.9826358333590035,2
116,1.0,-0.14804094490660427,2
117,1.0,0.5343185137385442,2
